Year,Entidad federativa,Sexo,Sexo_ Proporción plazas públicas,GeoCode,Value
2017,Baja California,Total,De 25 a 34 años,8003002,0.8708079202741271
2016,Baja California,Total,De 25 a 34 años,8003002,0.941190320964637
2015,Baja California,Total,De 25 a 34 años,8003002,0.980598814745048
2020,Baja California,Total,De 35 a 44 años,8003002,1.5488889781917403
2019,Baja California,Total,De 35 a 44 años,8003002,1.53688179798319
2018,Baja California,Total,De 35 a 44 años,8003002,1.52673344132039
2017,Baja California,Total,De 35 a 44 años,8003002,1.54138268699835
2016,Baja California,Total,De 35 a 44 años,8003002,1.5201988687271
2015,Baja California,Total,De 35 a 44 años,8003002,1.50011425151167
2020,Baja California,Total,De 45 a 54 años,8003002,1.56911885779412
2019,Baja California,Total,De 45 a 54 años,8003002,1.55192955145529
2018,Baja California,Total,De 45 a 54 años,8003002,1.48727865927539
2017,Baja California,Total,De 45 a 54 años,8003002,1.54912710944655
2016,Baja California,Total,De 45 a 54 años,8003002,1.5204631473370898
2015,Baja California,Total,De 45 a 54 años,8003002,1.73734213635924
2020,Baja California,Total,De 55 a 59 años,8003002,1.2345074701191
